number,name,x,y,z
54434,迁西,118.3000031,40.15000153,107.5
54436,青龙,118.9499969,40.40000153,227.5
54437,滦南,118.6669998,39.5,16.89999962
54438,卢龙,118.8669968,39.88330078,56.20000076
54439,迁安,118.7170029,40,50.09999847
54449,秦皇岛,119.5166702,39.84999847,2.400000095
54502,涿洲,115.9670029,39.48329926,36.5
54503,容城,115.8499985,39.04999924,16.10000038
54504,紫荆关,115.1669998,39.43330002,529.0999756
54506,新城,115.8499985,39.33330154,29.5
54507,易县,115.5,39.34999847,52.59999847
54508,涞水,115.6999969,39.38330078,43.5
54509,定兴,115.7666702,39.26666641,0
54510,大厂,116.9833298,39.90000153,17
54512,固安,116.2829971,39.43330002,23.79999924
54515,廊坊,116.6999969,39.5,14.30000019
54518,霸州,116.3833313,39.11666489,9
54519,永清,116.4830017,39.31669998,14.89999962
54520,三河,117.0833359,39.96666718,18
54521,香河,116.9833298,39.76666641,13
54522,玉田,117.7330017,39.88330078,19.10000038
54531,滦县,118.75,39.73329926,26.20000076
54532,丰润,118.0999985,39.79999924,34.90000153
54533,丰南,118.1169968,39.54999924,5.199999809
54534,唐山,118.1500015,39.66666794,27.79999924
54535,唐海,118.4499969,39.28329849,5.300000191
54539,乐亭,118.8833313,39.43333435,10.5
54540,昌黎,119.1669998,39.71670151,14.60000038
54541,抚宁,119.2330017,39.88330078,22.60000038
54600,博野,115.4666672,38.45000076,0
54601,徐水,115.6500015,39.01670074,17.20000076
54602,保定,115.5166702,38.84999847,17.20000076
54603,高阳,115.7829971,38.68330002,11.19999981
54604,安国,115.3330002,38.41669846,30.5
54605,安新,115.9329987,38.91669846,12.80000019
54606,饶阳,115.7333298,38.23333359,19
54607,望都,115.1169968,38.71670151,45.90000153
54608,深县,115.5500031,38,27
54609,安平,115.5169983,38.23329926,26.89999962
54610,任丘,116.0830002,38.71670151,10.39999962
54611,满城,115.3170013,38.95000076,39.59999847
54612,文安,116.4499969,38.86669922,7.699999809
54613,大城,116.6169968,38.70000076,7.800000191
54614,河间,116.0830002,38.45000076,13.10000038
54615,青县,116.8330002,38.58330154,8.600000381
54616,沧洲,116.8333359,38.33333206,9.600000381
54617,献县,116.1169968,38.18330002,13.80000019
54618,泊头,116.5500031,38.08333206,13.19999981
54620,北县,115.5670013,38.48329926,19.60000038
54621,深泽,115.1829987,38.18330002,37.59999847
54624,黄骅,117.3499985,38.36666489,6.599999905
54626,肃宁,115.8170013,38.41669846,14.19999981
54627,盐山,117.2330017,38.03329849,8.800000191
54628,海兴,117.4830017,38.15000153,7.199999809
54631,广宗,115.1500015,37.06669998,32.59999847
54632,平乡,115.0329971,37.06669998,34.79999924
54633,新河,115.2330017,37.51670074,26.29999924
54634,清苑,115.4833298,38.75,0
54636,雄县,116.0999985,38.98329926,10.89999962
54638,鹿泉,114.3166656,38.08333206,0
54640,鸡泽,114.8669968,36.91669846,37
54644,孟村,117.0830002,38.04999924,8.600000381
54700,武强,115.9830017,38.03329849,18.5
54701,辛集,115.2170029,37.91669846,36.79999924
54702,衡水,115.6999969,37.73329926,22
54703,武邑,115.8830032,37.79999924,21.60000038
54704,冀县,115.5670013,37.54999924,22.79999924
54705,南宫,115.3833313,37.36666489,27.39999962
54706,清河,115.6500015,37.06669998,31.60000038
54708,枣强,115.7170029,37.51670074,25.20000076
54710,阜城,116.1669998,37.86669922,19.5
54711,景县,116.3000031,37.68330002,19.89999962
54713,东光,116.5329971,37.88330078,14.80000019
54719,南皮,116.6829987,38.03329849,13.19999981
54800,威县,115.25,36.98329926,34.70000076
54801,临西,115.4830017,36.84999847,35.79999924
54804,大名,115.1500015,36.29999924,45.70000076
54809,馆陶,115.2829971,36.54999924,42.09999847
54820,丘县,115.1669998,36.81669998,37.90000153
53889,林县,113.8170013,36.06669998,308.6000061
53898,安阳,114.4000015,36.04999924,62.90000153
53972,沁阳,112.9169998,35.11669922,120.4000015
53974,淇县,114.1829987,35.61669922,72.80000305
53978,济源,112.6330032,35.08330154,140.6999969
53979,博爱,113.0500031,35.18330002,130.3000031
53982,焦作,113.2669983,35.23329926,113.1999969
53983,封丘,114.4169998,35.03329849,71.30000305
53984,修武,113.4169998,35.23329926,86.30000305
53985,辉县,113.8170013,35.45000076,97.5
53986,新乡,113.8833313,35.31666565,73.19999695
53987,武陡,113.4000015,35.09999847,96.09999847
53988,获加,113.6669998,35.26670074,78.09999847
53989,原阳,113.9499969,35.04999924,77.40000153
53990,鹤壁,114.1669998,35.90000153,177.1000061
53991,汤阴,114.3499985,35.93330002,75.30000305
53992,浚县,114.5500031,35.68330002,62.59999847
53993,内黄,114.9169998,35.93330002,52.40000153
53994,卫辉,114.0670013,35.38330078,71.19999695
53995,滑县,114.5,35.58330154,65.69999695
53997,延津,114.1829987,35.15000153,72.30000305
53998,长恒,114.6500015,35.20000076,62.70000076
54817,台前,115.8669968,35.98329926,43
54900,濮阳,115.0169983,35.70000076,53.09999847
54901,南乐,115.1829987,36.06669998,49.59999847
54902,清丰,115.1169968,35.90000153,50.09999847
54903,范县,115.4830017,35.91669846,49.29999924
57051,三门峡,111.1999969,34.79999924,409.8999939
57054,潼关,110.5670013,34.54999924,556.5999756
57056,灵宝,110.8499985,34.53329849,473.1000061
57057,洛南,111.4830017,34.09999847,959.9000244
57063,渑池,111.7669983,34.76670074,521.5999756
57065,宜阳,112.1829987,34.5,196.3999939
57066,洛宁,111.6669998,34.38330078,329.7000122
57067,卢氏,111.0333328,34.04999924,568.7999878
57070,新安,112.1500015,34.71670151,257.7999878
57071,孟津,112.4333344,34.81666565,333.2999878
57072,孟县,112.7829971,34.91669846,117.5999985
57073,洛阳,112.4666672,34.63333511,137.1000061
57074,伊川,112.4169998,34.41669846,198.1999969
57075,汝州,112.8330002,34.18330002,214.1999969
57076,偃师,112.8170013,34.71670151,116.5
57077,栾川,111.5999985,33.78333282,750.2999878
57078,汝阳,112.4670029,34.15000153,307.7999878
57079,温县,113.0999985,34.95000076,108.5
57080,巩县,112.9670029,34.73329926,166
57081,荥阳,113.4329987,34.79999924,140.5
57082,登封,113.0329971,34.45000076,372
57083,郑州,113.6500015,34.71666718,110.4000015
57084,嵩山,113.0500031,34.5,1178
57085,密县,113.3669968,34.51670074,289.2999878
57086,新郑,113.7330017,34.40000153,111.9000015
57087,长葛,113.8000031,34.20000076,88.5
57088,禹州,113.5,34.15000153,117.1999969
57089,许昌,113.8666687,34.03333282,66.80000305
57090,中牟,114.0169983,34.71670151,82.09999847
57091,开封,114.3000031,34.78333282,73.69999695
57093,兰考,114.8170013,34.84999847,72.19999695
57094,尉氏,114.1999969,34.40000153,67.5
57095,鄢陵,114.1999969,34.08330154,60.40000153
57096,杞县,114.7829971,34.53329849,60.70000076
57097,郑州农试站,113.6669998,34.81669998,80.80000305
57098,扶沟,114.4000015,34.08330154,59.29999924
57099,太康,114.8499985,34.06669998,53.59999847
57156,西峡,111.5,33.29999924,250.3000031
57162,嵩县,112.0830002,34.15000153,327.5
57169,内乡,111.8669968,33.04999924,160
57171,平顶山,113.2829971,33.71670151,85.59999847
57173,鲁山,112.8830032,33.75,146.8999939
57175,镇平,112.2330017,33.04999924,194.1000061
57176,南召,112.4329987,33.48329926,199.6999969
57177,午钢工区,113.5329971,33.33330154,90.69999695
57178,南阳,112.5833359,33.03333282,129.1999969
57179,方城,113,33.28329849,161.5
57180,郏县,113.1999969,33.98329926,118.5999985
57181,宝丰,113.0500031,33.88333511,136.3999939
57182,襄城,113.5,33.84999847,81.40000153
57183,临颍,113.9169998,33.79999924,60.79999924
57184,叶县,113.6500015,33.59999847,86.69999695
57185,舞阳,113.5830002,33.45000076,92.30000305
57186,漯河,114,33.58330154,62.09999847
57187,社旗,112.9329987,33.06669998,123.4000015
57188,西平,114,33.38330078,60.59999847
57189,遂平,114,33.15000153,64.40000153
57190,黄泛区,114.4000015,33.75,51.90000153
57191,通许,114.4830017,34.48329926,64.19999695
57192,淮阳,114.8499985,33.73329926,46.29999924
57193,西华,114.5166702,33.78333282,52.59999847
57194,上蔡,114.2669983,33.28329849,60.79999924
57195,周口,114.6169968,33.61669922,47.59999847
57196,项城,114.8830032,33.45000076,44.40000153
57197,汝南,114.3330002,33,50.29999924
57198,商水,114.6169968,33.54999924,47.29999924
57261,淅川,111.5,33.13330078,196.1999969
57271,新野,112.3830032,32.54999924,89.09999847
57273,唐河,112.8499985,32.68330002,109.9000015
57274,邓州,112.0830002,32.70000076,112.6999969
57281,泌阳,113.3000031,32.70000076,142.5
57285,桐柏,113.4169998,32.38330078,149.1000061
57289,信阳地区农试站,114.0830002,32.11669922,77.69999695
57290,驻马店,114.0166702,33,82.69999695
57292,平玉,114.6330032,32.95000076,44
57293,新蔡,114.9830017,32.73329926,39.09999847
57294,确山,114.0329971,32.79999924,85.5
57295,正阳,114.3499985,32.61669922,79.69999695
57296,息县,114.7330017,32.34999847,50.09999847
57297,信阳,114.0500031,32.13333511,114.5
57298,罗山,114.5500031,32.21670151,56.09999847
57299,光山,114.9000015,32.01670074,50.59999847
57390,鸡公山,114.0670013,31.79999924,700
57396,新县,114.8499985,31.63330078,130.8000031
58001,睢县,115.0999985,34.43330002,57.09999847
58004,民权,115.1500015,34.65000153,61
58005,商丘,115.6666641,34.45000076,50.09999847
58006,虞城,115.8830032,34.38330078,47.20000076
58007,柘城,115.3000031,34.06669998,48.20000076
58008,宁陵,115.3330002,34.46670151,55.40000153
58009,商丘县,115.5830002,34.38330078,50.59999847
58010,夏邑,116.1330032,34.25,41.20000076
58017,夏邑,116.1333313,34.25,41
58100,郸城,115.1829987,33.63330078,42.40000153
58101,鹿邑,115.4830017,33.88330078,41.20000076
58104,沈丘,115.0670013,33.40000153,42
58111,永城,116.3830032,33.93330002,32.70000076
58205,淮滨,115.4169998,32.45000076,34.79999924
58207,潢川,115.0329971,32.15000153,42.90000153
58208,固始,115.6166687,32.16666794,42.90000153
58301,商城,115.3830032,31.79999924,79.09999847
50136,漠河,122.5166702,52.96666718,433
50137,北极村,122.3666687,53.46666718,296
50204,阿木尔,123.1829987,52.83330154,551
50246,塔河,124.7166672,52.34999847,361.8999939
50247,呼中,123.6669998,52.04999924,521.5999756
50349,新林,124.3333359,51.70000076,494.6000061
50353,呼玛,126.6500015,51.71666718,177.3999939
50442,加格达奇,124.1166687,50.40000153,371.7000122
50468,黑河,127.4499969,50.25,166.3999939
50557,嫩江,125.2333298,49.16666794,242.1999969
50564,孙吴,127.3499985,49.43333435,234.5
50566,逊克,128.4669952,49.58330154,113
50646,讷河,124.8499985,48.48329926,203.8999939
50655,德都,126.1829987,48.5,273.2000122
50656,北安,126.5166702,48.28333282,269.7000122
50658,克山,125.8833313,48.04999924,234.6000061
50659,克东,126.25,48.03329849,294.7000122
50673,嘉荫,130.3999939,48.88330078,91.5
50674,乌伊岭,129.4329987,48.56669998,404.8999939
50739,龙江,123.1829987,47.33330154,190.5
50741,甘南,123.5,47.93330002,186.6000061
50742,富裕,124.4833298,47.79999924,162.6999969
50745,齐齐哈尔,123.9166641,47.38333511,147.1000061
50749,林甸,124.8330002,47.18330002,154.6000061
50750,依安,125.3000031,47.90000153,220.1000061
50755,拜泉,126.0999985,47.59999847,232.3999939
50756,海伦,126.9666672,47.43333435,239.1999969
50758,明水,125.9000015,47.16666794,247.1999969
50767,绥棱,127.0999985,47.23329926,204
50772,五营,129.25,48.11669922,299.1000061
50774,伊春,128.9166718,47.73333359,240.8999939
50775,鹤岗,130.2666626,47.33333206,227.8999939
50776,萝北,130.8329926,47.56669998,84.80000305
50778,同江,132.5,47.65000153,54.90000153
50779,扶远,134.2830048,48.36669922,65.5
50787,绥滨,131.8500061,47.28329849,63
50788,富锦,131.9833374,47.23333359,66.40000153
50842,杜尔伯特,124.4329987,46.86669922,151
50844,泰来,123.4166641,46.40000153,149.5
50850,大庆,125.1333313,46.56666565,147
50851,青冈,126.0999985,46.68330002,206.3000031
50852,望奎,126.4830017,46.86669922,170.1000061
50853,绥化,126.9666672,46.61666489,179.6000061
50854,安达,125.3166656,46.38333511,149.3000031
50858,肇东,125.9670029,46.06669998,148
52436,玉门镇,97.03333282,40.26666641,1526
52441,梧桐沟,98.6166687,40.71666718,1591
52446,鼎新,99.51667023,40.29999924,1177.400024
52447,金塔,98.90000153,40,1270.5
52515,肃北,94.88330078,39.51670074,2159.100098
52533,酒泉,98.48332977,39.76666641,1477.199951
52546,高台,99.83333588,39.36666489,1332.199951
52557,临泽,100.1669998,39.15000153,1454.599976
52643,肃南,99.61669922,38.83330154,2311.300049
52652,张掖,100.4333344,38.93333435,1482.699951
52656,民乐,100.8170013,38.45000076,2271.5
52661,山丹,101.0833359,38.79999924,1764.599976
52674,永昌,101.9666672,38.23333359,1976.900024
52675,金昌,102.1999969,38.53329849,1510
52679,武威,102.6666641,37.91666794,1531.5
52681,民勤,103.0833359,38.63333511,1367.5
52784,古浪,102.9000015,37.48329926,2073.199951
52787,乌鞘岭,102.8666687,37.20000076,3045.100098
52788,松山,104.0500031,37.18333435,2726.699951
52797,景泰,104.0500031,37.18333435,1630.900024
52884,皋兰,103.9333344,36.34999847,1668.5
52885,永登,103.25,36.75,2118.800049
52887,皋兰,103.9329987,36.34999847,1669.699951
52889,兰州,103.8833313,36.04999924,1517.199951
52895,靖远,104.6833344,36.56666565,1398.199951
52896,白银,104.1829987,36.54999924,1709.199951
52975,积石山,102.8666687,35.71666718,2313
52978,夏河,102.5169983,35.20000076,2931.100098
52980,永靖,103.3000031,35.96670151,1647.800049
52981,东乡,103.4000015,35.66669846,2430
52982,广河,103.5670013,35.48329926,1953.599976
52983,榆中,104.1500015,35.86666489,1874.400024
52984,临夏,103.1833344,35.58333206,1917.199951
52985,和政,103.3499985,35.43330002,2137.600098
52986,临洮,103.8499985,35.34999847,1893.800049
52988,康乐,103.7170029,35.36669922,2000.5
52993,会宁,105.0833359,35.68333435,2012.199951
52995,定西,104.6169968,35.58330154,1897.5
52996,华家岭,105,35.38333511,2450.600098
52998,渭源,104.1999969,35.13330078,2111.600098
53821,环县,107.3000031,36.58333206,1255.599976
53829,庆阳,107.9000015,35.98329926,1094.900024
53906,静宁,105.7170029,35.51670074,1653.800049
53908,通渭,105.2330017,35.21670151,1768.900024
53915,崆峒(平凉),106.6666641,35.54999924,1346.599976
53917,庄浪,106.0500031,35.21670151,1615.599976
53923,西峰镇,107.6333313,35.73333359,1421
53924,灵台,107.4000015,35.15000153,1376.300049
53925,镇原,107.1829987,35.68330002,1173.099976
53926,泾川,107.3499985,35.33330154,1030.099976
53927,华亭,106.6330032,35.21670151,1455.699951
53928,崇信,107.0169983,35.29999924,1149.599976
53930,华池,107.9830017,36.45000076,1270
53934,合水,108.0169983,35.81669998,1299.199951
53935,正宁,108.3499985,35.5,1443.400024
53937,宁县,108,35.41669846,1222
56071,碌曲,102.5,34.58330154,3106.699951
56074,玛曲,102.0833359,34,3471.399902
56075,郎木寺,102.6333313,34.08333206,3362.699951
56080,甘南州(合作),102.9000015,35,2910
56081,临潭,103.3499985,34.70000076,2811.600098
56082,卓尼,103.5,34.58330154,2545
56084,迭部,103.2170029,34.06669998,2401.399902
56091,漳县,104.4499969,34.84999847,1883.199951
56092,陇西,104.6500015,35,1728.800049
56093,岷县,104.0166702,34.43333435,2315
56094,舟曲,104.3669968,34.78329849,-1400.900024
56095,宕昌,104.3830032,34.03329849,1754.300049
56096,武都,104.9166641,33.40000153,1079.099976
56192,文县,104.6669998,32.95000076,1016.900024
56289,彭山,103.8669968,36.20000076,436.2999878
57001,甘谷,105.3330002,34.75,1272.199951
57002,泰安,105.6669998,34.86669922,1225.800049
57004,武山,104.8830032,34.73329926,1496
57006,天水,105.75,34.58333206,1141.699951
57007,礼县,105.1829987,34.18330002,1405.400024
57008,西和,105.3000031,34.03329849,1579
57011,清水,106.1500015,34.75,1378.599976
57012,张家川,106.1999969,34.98329926,1665.800049
57014,北道,105.8666687,34.56666565,1085.199951
57102,成县,105.7170029,33.75,970.5
57105,康县,105.5999985,33.33330154,1225.300049
57110,徽县,106.0830002,33.78329849,927.5
57111,两当,106.3000031,33.91669846,1041
57988,乐昌,113.3499985,25.14999962,103.4000015
57989,仁化,113.7330017,25.10000038,97.80000305
57996,南雄,114.3166656,25.13333321,133.8000031
59071,连南,112.2829971,24.7166996,115.3000031
59072,连州,112.3833313,24.78333282,98.30000305
59074,连山,112.1500015,24.56669998,299
59075,阳山,112.6330032,24.48329926,70
59081,乳源,113.2669983,24.7833004,99
59082,韶关,113.5999985,24.68333244,61
59087,佛冈,113.5333328,23.86666679,68.59999847
59088,英德,113.4169998,24.18330002,44.40000153
59090,始兴,114.0670013,24.95000076,103.8000031
59094,翁源,114.0670013,24.36669922,136.3000031
59096,连平,114.4833298,24.36666679,214.8000031
59097,新丰,114.1999969,24.04999924,160.6000061
59099,和平,114.9329987,24.45000076,175
59106,平远,115.9000015,24.58329964,148.6999969
59107,龙川,115.25,24.10000038,101.5
59109,兴宁,115.7330017,24.14999962,123
59114,蕉岭,116.1669998,24.64999962,106.0999985
59116,大埔,116.6999969,24.33329964,80.69999695
59117,梅县,116.0999985,24.26666641,87.80000305
59264,封开,111.5,23.45000076,34.70000076
59268,郁南,111.5329971,23.25,29.60000038
59269,德庆,111.7669983,23.14999962,22
59270,怀集,112.1829987,23.91670036,56.90000153
59271,广宁,112.4333344,23.63333321,57.29999924
59276,四会,112.6669998,23.35000038,48.29999924
59278,高要,112.4499969,23.03333282,41
59279,三水,112.8830032,23.16670036,84.40000153
59280,清远,113.0500031,23.66670036,19.39999962
59282,天河,113.3170013,23.13330078,8.199999809
59284,花县,113.2170029,23.38330078,6.099999905
59285,从化,113.5830002,23.54999924,34.5
59287,广州,113.3333359,23.16666603,41
59288,南海,113.0999985,23.01670074,6.5
59289,东莞,113.75,23.0333004,19.79999924
59290,龙门,114.2330017,23.73329926,71.30000305
59293,河源,114.6833344,23.73333359,40.59999847
59294,增城,113.8333359,23.33333397,38.90000153
59297,博罗,114.2829971,23.18330002,16.39999962
59298,惠阳,114.4166641,23.08333397,22.39999962
59303,五华,115.7666702,23.93333244,120.9000015
59304,紫金,115.1829987,23.63330078,140.8000031
59306,揭西,115.8330002,23.43330002,41.5
59310,丰顺,116.1829987,23.76670074,39.09999847
59312,潮州,116.6330032,23.66670036,11.30000019
59313,饶平,116.9830017,23.68330002,5.800000191
59314,普宁,116.1669998,23.29999924,14.89999962
59315,揭阳,116.3830032,23.56669998,3.700000048
59316,汕头,116.6833344,23.39999962,2.900000095
